Country,Subject Descriptor,Units,Scale,2015,Estimates Start After
Afghanistan,Gross domestic product per capita current prices,U.S. dollars,Units,599.99,2013
Albania,Gross domestic product per capita current prices,U.S. dollars,Units,3995.38,2010
Algeria,Gross domestic product per capita current prices,U.S. dollars,Units,4318.14,2014
Angola,Gross domestic product per capita current prices,U.S. dollars,Units,4100.32,2014
Antigua and Barbuda,Gross domestic product per capita current prices,U.S. dollars,Units,14414.3,2011
Argentina,Gross domestic product per capita current prices,U.S. dollars,Units,13588.85,2013
Armenia,Gross domestic product per capita current prices,U.S. dollars,Units,3534.86,2014
Australia,Gross domestic product per capita current prices,U.S. dollars,Units,50961.87,2014
Austria,Gross domestic product per capita current prices,U.S. dollars,Units,43724.03,2015
Azerbaijan,Gross domestic product per capita current prices,U.S. dollars,Units,5739.43,2014
The Bahamas,Gross domestic product per capita current prices,U.S. dollars,Units,23902.81,2013
Bahrain,Gross domestic product per capita current prices,U.S. dollars,Units,23509.98,2014
Bangladesh,Gross domestic product per capita current prices,U.S. dollars,Units,1286.87,2013
Barbados,Gross domestic product per capita current prices,U.S. dollars,Units,15773.56,2010
Belarus,Gross domestic product per capita current prices,U.S. dollars,Units,5749.12,2013
Belgium,Gross domestic product per capita current prices,U.S. dollars,Units,40106.63,2014
Belize,Gross domestic product per capita current prices,U.S. dollars,Units,4841.74,2013
Benin,Gross domestic product per capita current prices,U.S. dollars,Units,780.06,2011
Bhutan,Gross domestic product per capita current prices,U.S. dollars,Units,2843.4,2011
Bolivia,Gross domestic product per capita current prices,U.S. dollars,Units,2886.23,2012
Bosnia and Herzegovina,Gross domestic product per capita current prices,U.S. dollars,Units,4088.21,2014
Botswana,Gross domestic product per capita current prices,U.S. dollars,Units,6040.96,2008
Brazil,Gross domestic product per capita current prices,U.S. dollars,Units,8670,2014
Brunei Darussalam,Gross domestic product per capita current prices,U.S. dollars,Units,28236.64,2013
Bulgaria,Gross domestic product per capita current prices,U.S. dollars,Units,6831.66,2014
Burkina Faso,Gross domestic product per capita current prices,U.S. dollars,Units,614.5,2012
Burundi,Gross domestic product per capita current prices,U.S. dollars,Units,305.78,0
Cabo Verde,Gross domestic product per capita current prices,U.S. dollars,Units,3038.51,2014
Cambodia,Gross domestic product per capita current prices,U.S. dollars,Units,1168.04,2012
Cameroon,Gross domestic product per capita current prices,U.S. dollars,Units,1232.42,2010
Canada,Gross domestic product per capita current prices,U.S. dollars,Units,43331.96,2015
Central African Republic,Gross domestic product per capita current prices,U.S. dollars,Units,334.87,2004
Chad,Gross domestic product per capita current prices,U.S. dollars,Units,941.9,2004
Chile,Gross domestic product per capita current prices,U.S. dollars,Units,13340.91,2014
China,Gross domestic product per capita current prices,U.S. dollars,Units,7989.72,2015
Colombia,Gross domestic product per capita current prices,U.S. dollars,Units,6083.51,2014
Comoros,Gross domestic product per capita current prices,U.S. dollars,Units,736.35,2003
Democratic Republic of the Congo,Gross domestic product per capita current prices,U.S. dollars,Units,475.92,1983
Republic of Congo,Gross domestic product per capita current prices,U.S. dollars,Units,2032.27,2004
Costa Rica,Gross domestic product per capita current prices,U.S. dollars,Units,10936.24,2011
Côte d'Ivoire,Gross domestic product per capita current prices,U.S. dollars,Units,1314.68,2012
Croatia,Gross domestic product per capita current prices,U.S. dollars,Units,11572.91,2013
Cyprus,Gross domestic product per capita current prices,U.S. dollars,Units,22587.49,2014
Czech Republic,Gross domestic product per capita current prices,U.S. dollars,Units,17256.92,2015
Denmark,Gross domestic product per capita current prices,U.S. dollars,Units,52114.17,2015
Djibouti,Gross domestic product per capita current prices,U.S. dollars,Units,1788.36,2009
Dominica,Gross domestic product per capita current prices,U.S. dollars,Units,7030.15,2011
Dominican Republic,Gross domestic product per capita current prices,U.S. dollars,Units,6755.74,2014
Ecuador,Gross domestic product per capita current prices,U.S. dollars,Units,6070.95,2014
Egypt,Gross domestic product per capita current prices,U.S. dollars,Units,3740.25,2014
El Salvador,Gross domestic product per capita current prices,U.S. dollars,Units,4040.32,2007
Equatorial Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,11762.39,2010
Eritrea,Gross domestic product per capita current prices,U.S. dollars,Units,694.75,2006
Estonia,Gross domestic product per capita current prices,U.S. dollars,Units,17288.08,2014
Ethiopia,Gross domestic product per capita current prices,U.S. dollars,Units,686.59,2008
Fiji,Gross domestic product per capita current prices,U.S. dollars,Units,5373.63,2013
Finland,Gross domestic product per capita current prices,U.S. dollars,Units,41973.99,2014
France,Gross domestic product per capita current prices,U.S. dollars,Units,37675.01,2015
Gabon,Gross domestic product per capita current prices,U.S. dollars,Units,7735.94,0
The Gambia,Gross domestic product per capita current prices,U.S. dollars,Units,450.86,2010
Georgia,Gross domestic product per capita current prices,U.S. dollars,Units,3788.62,2013
Germany,Gross domestic product per capita current prices,U.S. dollars,Units,40996.51,2014
Ghana,Gross domestic product per capita current prices,U.S. dollars,Units,1340.42,0
Greece,Gross domestic product per capita current prices,U.S. dollars,Units,18064.29,2014
Grenada,Gross domestic product per capita current prices,U.S. dollars,Units,8936.58,2011
Guatemala,Gross domestic product per capita current prices,U.S. dollars,Units,3929.08,2010
Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,542.42,2009
Guinea-Bissau,Gross domestic product per capita current prices,U.S. dollars,Units,594.94,2004
Guyana,Gross domestic product per capita current prices,U.S. dollars,Units,4125.02,2002
Haiti,Gross domestic product per capita current prices,U.S. dollars,Units,804.56,0
Honduras,Gross domestic product per capita current prices,U.S. dollars,Units,2406.62,2001
Hong Kong SAR,Gross domestic product per capita current prices,U.S. dollars,Units,42389.63,2015
Hungary,Gross domestic product per capita current prices,U.S. dollars,Units,12239.89,2015
Iceland,Gross domestic product per capita current prices,U.S. dollars,Units,50854.58,2014
India,Gross domestic product per capita current prices,U.S. dollars,Units,1617.31,2013
Indonesia,Gross domestic product per capita current prices,U.S. dollars,Units,3362.36,2014
Islamic Republic of Iran,Gross domestic product per capita current prices,U.S. dollars,Units,4877.07,2012
Iraq,Gross domestic product per capita current prices,U.S. dollars,Units,4819.49,2013
Ireland,Gross domestic product per capita current prices,U.S. dollars,Units,51350.74,2014
Israel,Gross domestic product per capita current prices,U.S. dollars,Units,35343.34,2015
Italy,Gross domestic product per capita current prices,U.S. dollars,Units,29866.58,2015
Jamaica,Gross domestic product per capita current prices,U.S. dollars,Units,4948.02,2014
Japan,Gross domestic product per capita current prices,U.S. dollars,Units,32485.55,2015
Jordan,Gross domestic product per capita current prices,U.S. dollars,Units,5513.01,2014
Kazakhstan,Gross domestic product per capita current prices,U.S. dollars,Units,9795.63,2014
Kenya,Gross domestic product per capita current prices,U.S. dollars,Units,1388.45,2013
Kiribati,Gross domestic product per capita current prices,U.S. dollars,Units,1427.62,2013
Korea,Gross domestic product per capita current prices,U.S. dollars,Units,27195.2,2014
Kosovo,Gross domestic product per capita current prices,U.S. dollars,Units,,
Kuwait,Gross domestic product per capita current prices,U.S. dollars,Units,29363.03,2014
Kyrgyz Republic,Gross domestic product per capita current prices,U.S. dollars,Units,1112.81,2012
Lao P.D.R.,Gross domestic product per capita current prices,U.S. dollars,Units,1778.71,2012
Latvia,Gross domestic product per capita current prices,U.S. dollars,Units,13618.57,2015
Lebanon,Gross domestic product per capita current prices,U.S. dollars,Units,11236.79,2012
Lesotho,Gross domestic product per capita current prices,U.S. dollars,Units,1051.61,2006
Liberia,Gross domestic product per capita current prices,U.S. dollars,Units,473.64,2009
Libya,Gross domestic product per capita current prices,U.S. dollars,Units,6058.67,2014
Lithuania,Gross domestic product per capita current prices,U.S. dollars,Units,14210.28,2015
Luxembourg,Gross domestic product per capita current prices,U.S. dollars,Units,101994.09,2014
FYR Macedonia,Gross domestic product per capita current prices,U.S. dollars,Units,4786.84,2014
Madagascar,Gross domestic product per capita current prices,U.S. dollars,Units,401.77,2006
Malawi,Gross domestic product per capita current prices,U.S. dollars,Units,354.28,2011
Malaysia,Gross domestic product per capita current prices,U.S. dollars,Units,9556.77,2014
Maldives,Gross domestic product per capita current prices,U.S. dollars,Units,8999.97,2006
Mali,Gross domestic product per capita current prices,U.S. dollars,Units,801.84,2010
Malta,Gross domestic product per capita current prices,U.S. dollars,Units,22734.23,2014
Marshall Islands,Gross domestic product per capita current prices,U.S. dollars,Units,3355.55,2013
Mauritania,Gross domestic product per capita current prices,U.S. dollars,Units,1282.33,2012
Mauritius,Gross domestic product per capita current prices,U.S. dollars,Units,9218.43,2014
Mexico,Gross domestic product per capita current prices,U.S. dollars,Units,9009.28,2015
Micronesia,Gross domestic product per capita current prices,U.S. dollars,Units,3072.69,2013
Moldova,Gross domestic product per capita current prices,U.S. dollars,Units,1804.69,2015
Mongolia,Gross domestic product per capita current prices,U.S. dollars,Units,3951.91,2014
Montenegro,Gross domestic product per capita current prices,U.S. dollars,Units,6489.1,2014
Morocco,Gross domestic product per capita current prices,U.S. dollars,Units,3078.59,2014
Mozambique,Gross domestic product per capita current prices,U.S. dollars,Units,534.88,2013
Myanmar,Gross domestic product per capita current prices,U.S. dollars,Units,1291.96,2007
Namibia,Gross domestic product per capita current prices,U.S. dollars,Units,5776.9,2008
Nepal,Gross domestic product per capita current prices,U.S. dollars,Units,751.12,2012
Netherlands,Gross domestic product per capita current prices,U.S. dollars,Units,43603.12,2014
New Zealand,Gross domestic product per capita current prices,U.S. dollars,Units,37044.89,2015
Nicaragua,Gross domestic product per capita current prices,U.S. dollars,Units,1949.23,2013
Niger,Gross domestic product per capita current prices,U.S. dollars,Units,405.21,2009
Nigeria,Gross domestic product per capita current prices,U.S. dollars,Units,2742.86,2012
Norway,Gross domestic product per capita current prices,U.S. dollars,Units,74822.11,2015
Oman,Gross domestic product per capita current prices,U.S. dollars,Units,15232.96,2012
Pakistan,Gross domestic product per capita current prices,U.S. dollars,Units,1449.98,2015
Palau,Gross domestic product per capita current prices,U.S. dollars,Units,16070.42,2014
Panama,Gross domestic product per capita current prices,U.S. dollars,Units,13012.56,2013
Papua New Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,2084.71,2012
Paraguay,Gross domestic product per capita current prices,U.S. dollars,Units,4009.57,2014
Peru,Gross domestic product per capita current prices,U.S. dollars,Units,6021.1,2015
Philippines,Gross domestic product per capita current prices,U.S. dollars,Units,2858.14,2015
Poland,Gross domestic product per capita current prices,U.S. dollars,Units,12495.33,2014
Portugal,Gross domestic product per capita current prices,U.S. dollars,Units,19121.59,2014
Qatar,Gross domestic product per capita current prices,U.S. dollars,Units,76576.08,2014
Romania,Gross domestic product per capita current prices,U.S. dollars,Units,8906.3,2015
Russia,Gross domestic product per capita current prices,U.S. dollars,Units,9054.91,2015
Rwanda,Gross domestic product per capita current prices,U.S. dollars,Units,731.51,2012
Samoa,Gross domestic product per capita current prices,U.S. dollars,Units,4334.22,2011
San Marino,Gross domestic product per capita current prices,U.S. dollars,Units,49846.9,2014
São Tomé and Príncipe,Gross domestic product per capita current prices,U.S. dollars,Units,1568.97,2011
Saudi Arabia,Gross domestic product per capita current prices,U.S. dollars,Units,20812.59,2010
Senegal,Gross domestic product per capita current prices,U.S. dollars,Units,913.02,2011
Serbia,Gross domestic product per capita current prices,U.S. dollars,Units,5119.76,2014
Seychelles,Gross domestic product per capita current prices,U.S. dollars,Units,14940.71,2013
Sierra Leone,Gross domestic product per capita current prices,U.S. dollars,Units,659.44,2014
Singapore,Gross domestic product per capita current prices,U.S. dollars,Units,52887.77,2014
Slovak Republic,Gross domestic product per capita current prices,U.S. dollars,Units,15991.74,2015
Slovenia,Gross domestic product per capita current prices,U.S. dollars,Units,20732.48,2015
Solomon Islands,Gross domestic product per capita current prices,U.S. dollars,Units,1952.48,2014
South Africa,Gross domestic product per capita current prices,U.S. dollars,Units,5694.57,2014
South Sudan,Gross domestic product per capita current prices,U.S. dollars,Units,220.86,2008
Spain,Gross domestic product per capita current prices,U.S. dollars,Units,25864.72,2014
Sri Lanka,Gross domestic product per capita current prices,U.S. dollars,Units,3889.41,2012
St. Kitts and Nevis,Gross domestic product per capita current prices,U.S. dollars,Units,16109.71,2003
St. Lucia,Gross domestic product per capita current prices,U.S. dollars,Units,8191.98,2012
St. Vincent and the Grenadines,Gross domestic product per capita current prices,U.S. dollars,Units,6882.29,2014
Sudan,Gross domestic product per capita current prices,U.S. dollars,Units,2175.4,2010
Suriname,Gross domestic product per capita current prices,U.S. dollars,Units,9305.69,2011
Swaziland,Gross domestic product per capita current prices,U.S. dollars,Units,3139.66,2014
Sweden,Gross domestic product per capita current prices,U.S. dollars,Units,49866.27,2014
Switzerland,Gross domestic product per capita current prices,U.S. dollars,Units,80675.31,2015
Syria,Gross domestic product per capita current prices,U.S. dollars,Units,,2010
Taiwan Province of China,Gross domestic product per capita current prices,U.S. dollars,Units,22287.56,2015
Tajikistan,Gross domestic product per capita current prices,U.S. dollars,Units,922.07,2014
Tanzania,Gross domestic product per capita current prices,U.S. dollars,Units,941.8,2012
Thailand,Gross domestic product per capita current prices,U.S. dollars,Units,5742.28,2014
Timor-Leste,Gross domestic product per capita current prices,U.S. dollars,Units,2244.31,2011
Togo,Gross domestic product per capita current prices,U.S. dollars,Units,569.44,2010
Tonga,Gross domestic product per capita current prices,U.S. dollars,Units,3972.74,2012
Trinidad and Tobago,Gross domestic product per capita current prices,U.S. dollars,Units,18085.76,2012
Tunisia,Gross domestic product per capita current prices,U.S. dollars,Units,3922.65,2010
Turkey,Gross domestic product per capita current prices,U.S. dollars,Units,9437.37,2013
Turkmenistan,Gross domestic product per capita current prices,U.S. dollars,Units,6622.41,2004
Tuvalu,Gross domestic product per capita current prices,U.S. dollars,Units,3014.63,2012
Uganda,Gross domestic product per capita current prices,U.S. dollars,Units,620.21,2014
Ukraine,Gross domestic product per capita current prices,U.S. dollars,Units,2125.43,2015
United Arab Emirates,Gross domestic product per capita current prices,U.S. dollars,Units,36060.02,2010
United Kingdom,Gross domestic product per capita current prices,U.S. dollars,Units,43770.69,2015
United States,Gross domestic product per capita current prices,U.S. dollars,Units,55805.2,2015
Uruguay,Gross domestic product per capita current prices,U.S. dollars,Units,15748.19,2014
Uzbekistan,Gross domestic product per capita current prices,U.S. dollars,Units,2120.78,2013
Vanuatu,Gross domestic product per capita current prices,U.S. dollars,Units,2847.11,2014
Venezuela,Gross domestic product per capita current prices,U.S. dollars,Units,7744.75,2010
Vietnam,Gross domestic product per capita current prices,U.S. dollars,Units,2088.34,2012
Yemen,Gross domestic product per capita current prices,U.S. dollars,Units,1302.94,2008
Zambia,Gross domestic product per capita current prices,U.S. dollars,Units,1350.15,2010
Zimbabwe,Gross domestic product per capita current prices,U.S. dollars,Units,1064.35,2012
